,,,,,,,,,,,,,,,朝主菜,,昼主菜,,夕主菜,
,１日分献立表,,,国の標準栄養価一覧表のコード,,,,,,,,,,,朝副菜,,昼副菜①,,夕副菜①,
,2026年1月31日,,,,,,,,,,,,,,朝汁物,,昼副菜②,,夕副菜②,
,事業者名称,,,,,,,,１日分の野菜量 ,314.0g,Ｐ：Ｆ：Ｃ ,15:32:50,,,,,昼汁物,,夕汁物,
,,,,,,,,,,,,,,,,,,,,
,,１日分献立,,,,,,,,,,,,備考,総量,カット無,カット,カット,カット,発注量
,,献立,レシピ,食品,,１人分可食量（ｇ）,ｴﾈﾙｷﾞｰ(kcal),たんぱく質(g),脂質(g),炭水化物(g),ナトリウム（㎎）,食塩(g),野菜量(g),,,,,,,
,,,,14006,（植物油脂類）　調合油,8.00, 74 ,0.0,8.0,0.0, 0 ,0.0,,,8,,,,,
,,,,06134,（だいこん類）　だいこん　根　皮むき　生,30.00, 5 ,0.1,0.0,1.2, 5 ,0.0,30.0,,30,,,,,
,,,,30011,ポン酢,3.00, 1 ,0.1,0.0,0.2, 109 ,0.3,,,3,,,,,
,,,,06227,（ねぎ類）　葉ねぎ　葉　冷,3.00, 1 ,0.1,0.0,0.2, 0 ,0.0,3.0,,3,,,,,
,,,,,レシピ合計,, 245 ,12.1,17.9,6.1, 331 ,0.8,33.0,,,,,,,
,,,43827,五目炒め,,,,,,,,,,,,,,,,
,,,,10381,＜水産練り製品＞焼き竹輪　冷,5.00, 6 ,0.6,0.1,0.7, 42 ,0.1,,,5,,,,,
,,,,06084,ごぼう　根　冷,15.00, 10 ,0.3,0.0,2.3, 3 ,0.0,15.0,,15,,,,,
,,,,06214,（にんじん類）　にんじん　根　皮むき　冷,10.00, 4 ,0.1,0.0,0.9, 3 ,0.0,10.0,,10,,,,,
,,,,30027,（冷）さやいんげん,10.00, 3 ,0.2,0.0,0.6, 0 ,0.0,,,10,,,,,
,,,,04039,だいず　［豆腐・油揚げ類］　生揚げ　冷,10.00, 15 ,1.1,1.1,0.1, 0 ,0.0,,,10,,,,,
,,,,14002,（植物油脂類）　ごま油,2.00, 18 ,0.0,2.0,0.0, 0 ,0.0,,,2,,,,,
,,,,17021,＜調味料類＞（だし類）かつお・昆布だし,0.30, 0 ,0.0,0.0,0.0, 0 ,0.0,,,0.3,,,,,
,,,,16002,＜アルコール飲料類＞（醸造酒類）　清酒　純米酒,1.00, 1 ,0.0,0.0,0.0, 0 ,0.0,,,1,,,,,
,,,,03003,（砂糖類）　車糖　上白糖,2.00, 8 ,0.0,0.0,2.0, 0 ,0.0,,,2,,,,,
,,,,17007,＜調味料類＞（しょうゆ類）こいくちしょうゆ,3.00, 2 ,0.2,0.0,0.3, 171 ,0.4,,,3,,,,,
,,,,,レシピ合計,, 67 ,2.5,3.2,6.9, 219 ,0.5,25.0,,,,,,,
,,,43828,かぼちゃサラダ,,,,,,,,,,,,,,,,
,,,,06046,（かぼちゃ類）　日本かぼちゃ　果実　生,25.00, 12 ,0.4,0.0,2.7, 0 ,0.0,25.0,,25,,,,,
,,,,06065,きゅうり　果実　冷,15.00, 2 ,0.2,0.0,0.5, 0 ,0.0,15.0,,15,,,,,
,,,,11176,＜畜肉類＞ぶた　［ハム類］　ロースハム,5.00, 10 ,0.8,0.7,0.1, 50 ,0.1,,,5,,,,,
,,,,06214,（にんじん類）　にんじん　根　皮むき　生,5.00, 2 ,0.0,0.0,0.4, 2 ,0.0,5.0,,5,,,,,
,,,,17012,＜調味料類＞（食塩類）食塩,0.10, 0 ,0.0,0.0,0.0, 39 ,0.1,,,0.1,,,,,
,,,,17064,＜香辛料類＞こしょう　白　粉,0.05, 0 ,0.0,0.0,0.0, 0 ,0.0,,,0.05,,,,,
,,,,17042,＜調味料類＞（ドレッシング類）マヨネーズ　全卵型,8.00, 56 ,0.1,6.0,0.4, 55 ,0.1,,,8,,,,,
,,,,,レシピ合計,, 82 ,1.5,6.7,4.1, 146 ,0.3,45.0,,,,,,,
,,,43829,味噌汁（なす）,,,,,,,,,,,,,,,,
,,,,06191,（なす類）　なす　果実　冷,20.00, 4 ,0.2,0.0,1.0, 0 ,0.0,20.0,,20,,,,,
,,,,06153,（たまねぎ類）　たまねぎ　りん茎　生,20.00, 7 ,0.2,0.0,1.8, 0 ,0.0,20.0,,20,,,,,
,,,,30296,花かつおだしパック,0.10, 0 ,0.1,0.0,0.0, 1 ,0.0,,,0.1,,,,,
,,,,17045,＜調味料類＞（みそ類）米みそ　淡色辛みそ,7.00, 13 ,0.9,0.4,1.5, 343 ,0.9,,,7,,,,,
,,,,30398,味の素　ハイミー,0.10, 0 ,0.0,0.0,0.0, 12 ,0.0,,,0.1,,,,,
,,,,,レシピ合計,, 24 ,1.4,0.4,4.3, 356 ,0.9,40.0,,,,,,,
,,,夕食合計,,,, 670 ,21.8,28.8,76.1," 1,053 ",2.5,143.0,,,,,,,
,総合計,,,,,," 1,744 ",66.4,62.6,219.5," 3,055 ",7.4,314.0,,,,,,,
